composite_name,latitude,longitude
Alabama > BankHead Forest/ Thompson Creek Trail,33.7609,-86.8799
Alabama > Bankhead Forest/Ship Rock,33.7609,-86.8799
Alabama > Bishop Mountain,34.453295,-86.3793290909091
Alabama > Buck’s Pocket,34.47493,-86.06007
Alabama > Cherokee Bluffs,32.67095,-85.90765
Alabama > Chewacla State Park,32.5493,-85.47827
Alabama > Citadel,34.47383,-85.67076
Alabama > Colbert Heights,34.6784,-87.7051
Alabama > Coosa Slabs,32.6133,-86.2522
"Alabama > Dumps, The",34.48449,-86.27799
Alabama > Fort Rucker Climbing Wall,31.32453,-85.71805
Alabama > Griffin Falls,34.2876,-85.9237
Alabama > Gulf State Park-Boulder Park,30.27496,-87.6068
Alabama > Home Crag Boulders  a.k.a. Sherriff Boulders,33.7609,-86.8799
Alabama > Honeycomb Island,34.43046,-86.34106
Alabama > Horse Pens 40,33.92483444444444,-86.28354333333333
Alabama > Hospital Boulders,34.07621777777778,-86.01865444444444
Alabama > Hurricane Creek Park,34.28683,-86.895
Alabama > Hurricane Creek Park (Tuscaloosa),33.21429,-87.450548
Alabama > Jamestown,34.440815,-85.58583250000001
Alabama > LaGrange,34.65,-87.56
Alabama > Lake Guntersville,34.37369,-86.20993
Alabama > Lake Smith,34.00013,-87.28368
Alabama > Little River Canyon,34.36015,-85.65930571428571
Alabama > Monte Sano State Park,34.7216,-86.53713
Alabama > Moss Rock Preserve,33.381784,-86.842358
Alabama > Palisades Park,33.98856,-86.45815
Alabama > Rainbow Mountain,34.73412,-86.72793
Alabama > Sand Rock,34.18011380952381,-85.81682238095239
Alabama > Sauta Cave,34.612311999999996,-86.124428
Alabama > Seven Falls,34.3231,-86.9547
Alabama > Smith Mountain,32.80996625,-85.83831375
Alabama > Steele,33.93484,-86.23308
Alabama > Temp HP40,33.92202,-86.30801
Alabama > Trussville Boulders,33.63877,-86.59549
Alabama > Tuscaloosa UA Campus,33.213062,-87.543378
Alabama > Yellow Bluff,34.4869875,-86.6281175
Alabama > bankhead forest/sipsey picnic area,33.7609,-86.8799
Arizona > **Phoenix Areas,33.515198545454545,-111.88628716363637
Arizona > **Prescott Area,34.5966424260355,-112.45400514792898
Arizona > *Northern AZ Bouldering*,35.22338254237288,-111.75284536723163
Arizona > Arivaca Lake,31.52558,-111.25452
"Arizona > Arizona Strip, The",36.866337,-113.7223325
Arizona > Baboquivari Peak,31.77131,-111.59661
Arizona > Bear Canyon Lake,34.40722,-111.00214
"Arizona > Biscuit, The",31.708958000000003,-110.49536
Arizona > Black Hills,32.85119,-109.40232
Arizona > Blue Wash Trail,33.87609,-111.81187
Arizona > Boulder Mountain,33.787842500000004,-111.441935
Arizona > Central Mogollon Rim,34.553595,-111.45922857142857
Arizona > Chase Creek,33.14059,-109.37814
Arizona > Chiricahua Mountains,31.89024,-109.16031
Arizona > Chiricahua National Monument,32.01263,-109.33875
Arizona > Christopher Creek Gorge,34.312605714285716,-111.06416214285714
Arizona > Cochise Stronghold,31.941075439560443,-110.01737192307692
"Arizona > Colony, The",33.80646,-111.47748166666668
Arizona > Coon Bluff,33.5471,-111.6482
Arizona > Copper Canyon,34.53523,-111.90802
Arizona > Crown King Area,33.81868,-112.20521
Arizona > Dromedary Peak,33.25791,-111.24973
"Arizona > Dry Canyon, The",31.78848875,-110.4040875
Arizona > Eagletail Mountains,33.44228666666667,-112.50120666666668
Arizona > East Verde,34.30020666666667,-111.35441666666667
"Arizona > End of the Road, The",32.27969,-110.7075
Arizona > Energizer Spire Area,33.95072,-111.41857
"Arizona > Farmhouse, The",31.692431333333335,-110.42937666666667
Arizona > Five Mile Draw,34.591705000000005,-110.083215
Arizona > Flagstaff Area,35.20326267605634,-111.62849774647887
Arizona > Four Peaks Wilderness,33.714544090909094,-111.42755227272727
Arizona > General area,34.3147,-110.94525
Arizona > Goldfield Mountains,33.54538,-111.54168
Arizona > Grand Canyon,36.15304695652174,-112.04429130434782
Arizona > Hall Creek,34.06412,-109.45935
Arizona > Hinterland,33.4314,-112.0715
"Arizona > Homestead, The",33.17347733333334,-110.78039266666666
Arizona > Huachuca Canyon,31.51489,-110.38936
Arizona > Isolation Canyon,34.361476999999994,-111.450046
Arizona > Kaibab Plateau,36.726485,-112.13438500000001
Arizona > Kingman Area,35.3457828,-114.1895876
Arizona > Kitt Peak,31.9702,-111.6023
Arizona > Kofa Mountains,33.36155,-114.09378
Arizona > La Milagrosa Canyon,32.299995384615386,-110.71039153846154
Arizona > Lake Havasu,34.579002,-114.33147
Arizona > Lee's Ferry,36.8465,-111.68364
Arizona > Mendoza Canyon (aka Coyote Domes),31.9860875,-111.518225
Arizona > Mesquite Wash Rockpile,33.71255,-111.51233
Arizona > Mingus Mountain,34.69948,-112.15881
Arizona > Mount Lemmon (Santa Catalina Mountains),32.3797933253012,-110.7439309879518
"Arizona > Mustang, The",31.694,-110.4713
Arizona > Navajolands,36.349814,-109.633446
"Arizona > Newman Peak- ""The Shady Lady?""",32.70614,-111.40634
Arizona > Nothing,34.481965,-113.33487
Arizona > Oak Creek Canyon,34.94586,-111.743968
Arizona > Organ Pipe Cactus National Monument,32.11485,-112.70631
Arizona > Picket Post Mountain,33.2684,-111.1599
Arizona > Pinaleno mtns. (Mt. Graham),32.66946,-109.84791999999999
Arizona > Queen Creek Canyon,33.2985012195122,-111.05099991869918
Arizona > Rincon Mountains,32.1064,-110.4521
Arizona > Saguaro Lake,33.55947666666667,-111.50902333333333
Arizona > Salome,33.8488,-113.68882
Arizona > Santa Maria's & Surrounding Ranges,34.74478,-112.88843
Arizona > Santa Rita Mountains,31.72573,-110.94266
Arizona > Santans,33.12858,-111.65372
Arizona > Sedona Area,34.87172810457516,-111.7874625490196
Arizona > Shoen's Dam,34.41528,-110.10164
Arizona > Sierra Ancha Mountains,33.76713,-110.97708
Arizona > Stewart Pocket,34.22230523809524,-111.26904095238095
Arizona > Stone Canyon,32.49233,-110.94842
Arizona > Switchbacks Overlook,35.02309,-111.73059
Arizona > Sycamore Canyon,35.12003971428571,-111.98705171428571
Arizona > Sycamore Wall,33.84327,-111.46403
Arizona > Tam O'Shanter,33.4314,-112.0715
Arizona > Tanque Verde Canyon,32.258833333333335,-110.65718
Arizona > Texas Canyon,32.04428,-110.09323
Arizona > Tinajas Altas,32.2957,-114.0403
Arizona > Tollgate Pass,32.843265,-109.398895
Arizona > Top of the World,33.4314,-112.0715
Arizona > Tucson Area Bouldering,32.345116875,-111.11737781250001
Arizona > Tucson Mountains,32.308777142857146,-111.12207
Arizona > Waugh Wall,33.4314,-112.0715
Arizona > Williams Area,35.19651,-112.2057575
Arizona > Winslow- Hwy’s 87 & 99 Corridors,34.82230157894737,-110.88876368421052
Arizona > Wood Canyon,33.2332,-111.1119
Arizona > Workman Falls,33.81839,-110.93062
Arkansas > Area 74,36.0364,-93.6763
Arkansas > Beaver Lake,36.339304999999996,-93.970135
Arkansas > BellaVista Climbing areas.,36.43522,-94.23538
Arkansas > Big Creek Natural Area,35.50165,-91.82844
Arkansas > Big Piney Region,35.72924176470588,-93.23502117647058
Arkansas > Bigfoot Hollow,35.64303866666667,-93.87860133333334
Arkansas > Buffalo River Region,36.09808777777778,-93.29732555555556
Arkansas > Buzzard Rocks (AKA Eickleberry),35.25293,-93.4947
Arkansas > Chenal Mountain,34.7928,-92.4835
Arkansas > City Rock Bluff,36.102824999999996,-92.18635
Arkansas > Cowell/Deer Area,35.87504269230769,-93.18121807692309
Arkansas > Dardanelle Rock,35.23714,-93.16375
Arkansas > DeSoto Bouldering Area,35.68708,-93.68326
Arkansas > Devils canyon,35.62851,-94.03835
Arkansas > Fern,35.615743888888886,-94.008425
Arkansas > Fitzgerald Mountain,36.20843714285714,-94.10704
Arkansas > Foushee Cave Natural Area,35.71769,-91.82788
"Arkansas > Gasfields, The",35.46960285714286,-92.18889142857142
Arkansas > Heber Springs,35.52559,-92.01311
Arkansas > Hobo Beach,35.75546,-91.63447
Arkansas > Hollis Mountain,34.878145,-93.1118325
Arkansas > Horseshoe Canyon Ranch,36.00629063492064,-93.29177428571428
Arkansas > Jamestown Crag,35.662885714285714,-91.755635
Arkansas > Jim Kress WMA,35.5439,-91.86637
Arkansas > King's River Overlook,36.223240000000004,-93.65070499999999
Arkansas > Lake Lincoln,35.99842458333333,-94.42182666666668
Arkansas > Lake Ouachita AR,34.58945,-93.2228
Arkansas > Land Locke(d) Boulder Garden,35.67292,-94.08254
Arkansas > Little Red River Gorge,35.75822,-92.38132
Arkansas > Lone Wadi,35.38427142857143,-91.9814257142857
Arkansas > Mossy Bluff,35.518795000000004,-91.9982675
Arkansas > Mount Magazine State Park,35.16393909090909,-93.64150545454545
Arkansas > Painters Bluff,35.8683,-91.8484
Arkansas > Pinnacle Mountain,34.84098,-92.485145
Arkansas > Rattlesnake Ridge Natural Area,34.84167,-92.520375
Arkansas > Richland Creek Area,35.8776,-92.9131338888889
Arkansas > Riverside,35.28096,-91.71730666666667
Arkansas > Sam's Throne & Surroundings,35.86298,-93.05154040816328
Arkansas > Shepherd Springs,35.7045,-94.107
Arkansas > Silver Hill (Cherokee WMA),35.57689,-92.01781
Arkansas > Spy Rock,35.70074,-93.7669
Arkansas > Sunnyland (aka Racket Ridge) Bouldering,35.76556,-92.14147
"Arkansas > Whitcombs, The",34.91342,-93.10918
Arkansas > Woods Mountain,35.57226222222222,-93.3760188888889
California > Central Coast,35.30208051075269,-120.38991301075268
California > High Desert,34.661785728900256,-117.04422299232736
California > High Sierra,37.15393456790123,-118.65619962962963
California > Inland Empire,33.87024565445026,-117.28359973821989
California > Joshua Tree National Park,34.02351209627329,-116.13807366459628
California > Lake Tahoe,39.026414359903384,-120.37014114734299
California > Los Angeles Basin,34.16176494764398,-118.26307057591625
California > Northeast California,40.314169383259916,-121.07846748898677
California > Redwood Coast,40.89027412162162,-123.69395817567568
California > San Bernardino Mountains,34.264000801886795,-117.01594573113208
California > San Diego County,33.03455987288136,-116.74366108050847
California > San Francisco Bay Area,37.963905682451255,-122.41439551532034
California > San Jacinto Mountains,33.807960916230364,-116.6935757329843
California > Sequoia & Kings Canyon NP,36.660450518518516,-118.70358622222223
California > Sierra Eastside,37.3975131359852,-118.6351858186864
California > Sonora Pass Highway (108),38.09935289156626,-120.18405072289157
California > Tahquitz & Suicide Rocks,33.74650360465116,-116.68081744186047
California > Western Sierra,36.87937676113361,-119.11870587044535
California > Yosemite National Park,37.773910189573456,-119.53894390995262
Colorado > *Arkansas Valley Bouldering,38.835184626865676,-106.13010925373133
Colorado > -,39.49844,-106.07334
Colorado > 007 (a.k.a. 0071),37.34256,-107.78525
Colorado > 10 Mile Tower,39.5701,-106.11985
Colorado > 16Z,38.09382,-108.805
Colorado > 6530 Rd,38.5666,-107.79772
Colorado > 6th Flatiron (Blue Mountain Dr.),39.8633,-105.2735
Colorado > 7:30,39.7025,-105.74229
"Colorado > 89 Wall, The",38.5448,-106.928
Colorado > ? Fall River Rd/I-70 slab aka Stanley Slab or Stanley Road or Frontage River Road,39.7547,-105.558
Colorado > A Massive Pain in the ASS,39.18367,-106.47574
